 *  Executing task in folder rocket_groundstation: platformio device monitor 

--- Terminal on /dev/cu.usbserial-A5069RR4 | 115200 8-N-1
--- Available filters and text transformations: debug, default, direct, esp8266_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
4294967206,0,-104.33,0.00,-0.04,1.24,9.80,-0.2,0.5,-0.5,0
4294967216,0,-104.34,0.00,-0.03,1.24,9.81,0.0,0.5,-0.5,0
4294967226,0,-104.56,0.00,-0.04,1.23,9.81,0.0,0.5,-0.5,0
4294967236,0,-104.58,0.00,-0.04,1.23,9.79,0.1,0.5,-0.5,0
4294967246,0,-104.57,0.00,-0.04,1.22,9.80,0.3,0.5,-0.5,0
4294967256,0,-104.65,0.00,-0.03,1.21,9.81,0.4,0.5,-0.5,0
4294967266,0,-104.53,0.00,-0.04,1.22,9.80,0.6,0.5,-0.5,0
4294967276,0,-104.32,0.00,-0.05,1.24,9.82,0.7,0.5,-0.5,0
4294967286,0,-104.40,0.00,-0.05,1.20,9.82,0.8,0.5,-0.5,0
0,0,-104.35,0.00,-0.04,1.21,9.82,0.9,0.5,-0.5,0
10,0,-104.31,0.00,-0.04,1.24,9.81,1.1,0.5,-0.5,0
20,0,-104.28,0.00,-0.02,1.24,9.81,1.2,0.5,-0.5,0
30,0,-104.31,0.00,-0.02,1.23,9.80,1.3,0.5,-0.5,0
40,0,-104.15,0.00,-0.05,1.21,9.81,1.4,0.5,-0.5,0
50,0,-104.29,0.00,-0.05,1.23,9.81,1.5,0.5,-0.5,0
60,0,-104.34,0.00,-0.05,1.24,9.82,1.6,0.5,-0.5,0
70,0,-104.35,0.00,-0.05,1.23,9.81,1.7,0.5,-0.5,0
80,0,-104.31,0.00,-0.05,1.24,9.81,1.9,0.5,-0.5,0
90,0,-104.26,0.00,-0.04,1.23,9.80,2.0,0.5,-0.6,0
100,0,-104.29,0.00,-0.04,1.22,9.80,2.1,0.5,-0.6,0
110,0,-104.36,0.00,-0.03,1.21,9.81,2.2,0.5,-0.6,0
120,0,-104.53,0.00,-0.04,1.23,9.80,2.3,0.4,-0.6,0
130,0,-104.47,0.00,-0.04,1.21,9.81,2.4,0.4,-0.6,0
140,0,-104.41,0.00,-0.04,1.22,9.81,2.4,0.4,-0.6,0
150,0,-104.48,0.00,-0.04,1.22,9.81,2.5,0.4,-0.6,0
160,0,-104.46,0.00,-0.04,1.22,9.81,2.6,0.4,-0.6,0
170,0,-104.59,0.00,-0.05,1.23,9.80,2.7,0.4,-0.6,0
180,0,-104.51,0.00,-0.04,1.22,9.80,2.8,0.4,-0.6,0
190,0,-104.35,0.00,-0.03,1.21,9.81,2.9,0.4,-0.6,0
200,0,-104.29,0.00,-0.05,1.22,9.81,3.0,0.4,-0.6,0
210,0,-104.23,0.00,-0.04,1.23,9.82,3.0,0.4,-0.6,0
220,0,-104.35,0.00,-0.04,1.22,9.81,3.1,0.4,-0.6,0
230,0,-104.29,0.00,-0.05,1.21,9.82,3.2,0.4,-0.6,0
240,0,-104.29,0.00,-0.04,1.23,9.80,3.3,0.4,-0.6,0
250,0,-104.21,0.00,-0.05,1.22,9.80,3.4,0.4,-0.6,0
260,0,-104.34,0.00,-0.05,1.23,9.81,3.4,0.4,-0.6,0
270,0,-104.37,0.00,-0.04,1.21,9.79,3.5,0.4,-0.6,0
280,0,-104.44,0.00,-0.04,1.23,9.81,3.6,0.4,-0.6,0
290,0,-104.46,0.00,-0.04,1.23,9.83,3.6,0.4,-0.6,0
300,0,-104.44,0.00,-0.01,1.21,9.83,3.7,0.4,-0.6,0
310,0,-104.47,0.00,-0.03,1.22,9.80,3.8,0.4,-0.6,0
