 *  Executing task in folder rocket_groundstation: platformio device monitor 

--- Terminal on /dev/cu.usbserial-A5069RR4 | 115200 8-N-1
--- Available filters and text transformations: debug, default, direct, esp8266_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
4294967206,0,-104.98,0.00,0.23,0.32,9.95,0.0,0.7,-0.1,0
4294967216,0,-105.05,0.00,0.23,0.33,9.93,0.0,0.6,-0.1,0
4294967226,0,-105.11,0.00,0.23,0.32,9.93,0.1,0.6,-0.1,0
4294967236,0,-105.02,0.00,0.24,0.31,9.94,0.1,0.6,-0.1,0
4294967246,0,-105.05,0.00,0.22,0.32,9.93,0.1,0.5,-0.1,0
4294967256,0,-105.17,0.00,0.21,0.31,9.95,0.2,0.5,-0.1,0
4294967266,0,-105.14,0.00,0.23,0.31,9.94,0.2,0.5,-0.1,0
4294967276,0,-105.03,0.00,0.22,0.32,9.96,0.2,0.4,-0.2,0
4294967286,0,-105.03,0.00,0.22,0.30,9.94,0.3,0.4,-0.2,0
0,0,-105.10,0.00,0.20,0.31,9.94,0.3,0.4,-0.2,0
10,0,-105.19,0.00,0.21,0.31,9.95,0.3,0.3,-0.2,0
20,0,-105.05,0.00,0.23,0.32,9.93,0.3,0.3,-0.2,0
30,0,-105.03,0.00,0.24,0.31,9.95,0.4,0.3,-0.2,0
40,0,-105.08,0.00,0.22,0.31,9.94,0.4,0.2,-0.2,0
50,0,-105.16,0.00,0.22,0.31,9.93,0.4,0.2,-0.2,0
60,0,-105.26,0.00,0.23,0.30,9.95,0.4,0.2,-0.2,0
70,0,-105.25,0.00,0.25,0.31,9.95,0.5,0.2,-0.2,0
80,0,-105.20,0.00,0.22,0.31,9.94,0.5,0.1,-0.2,0
90,0,-105.12,0.00,0.21,0.29,9.93,0.5,0.1,-0.2,0
100,0,-104.93,0.00,0.23,0.31,9.94,0.5,0.1,-0.2,0
110,0,-104.90,0.00,0.21,0.31,9.93,0.6,0.0,-0.2,0
120,0,-104.92,0.00,0.21,0.31,9.92,0.6,0.0,-0.2,0
130,0,-105.00,0.00,0.23,0.32,9.95,0.6,0.0,-0.2,0
140,0,-104.97,0.00,0.23,0.30,9.93,0.6,0.0,-0.2,0
150,0,-105.01,0.00,0.24,0.31,9.92,0.7,0.0,-0.2,0
160,0,-105.03,0.00,0.22,0.31,9.95,0.7,0.0,-0.2,0
170,0,-105.04,0.00,0.20,0.32,9.95,0.7,0.0,-0.2,0
180,0,-105.00,0.00,0.23,0.31,9.94,0.7,0.0,-0.2,0
190,0,-104.93,0.00,0.22,0.31,9.93,0.7,0.0,-0.2,0
200,0,-105.05,0.00,0.23,0.29,9.95,0.8,-0.1,-0.2,0
24721,0,-104.62,0.00,0.25,0.32,9.94,-0.5,0.7,-0.5,0
24731,0,-104.62,0.00,0.26,0.34,9.92,-0.4,0.6,-0.5,0
24741,0,-104.70,0.00,0.28,0.34,9.95,-0.4,0.6,-0.5,0
24751,0,-104.68,0.00,0.25,0.33,9.95,-0.3,0.6,-0.5,0
24761,0,-104.66,0.00,0.27,0.34,9.94,-0.3,0.5,-0.5,0
24771,0,-104.58,0.00,0.27,0.34,9.95,-0.2,0.5,-0.5,0
24781,0,-104.57,0.00,0.24,0.34,9.94,-0.2,0.4,-0.5,0
24791,0,-104.48,0.00,0.25,0.33,9.94,-0.2,0.4,-0.5,0
24801,0,-104.47,0.00,0.25,0.33,9.95,-0.1,0.4,-0.5,0
24811,0,-104.53,0.00,0.26,0.31,9.95,-0.1,0.3,-0.5,0
24821,0,-104.55,0.00,0.24,0.33,9.94,0.0,0.3,-0.5,0
24831,0,-104.57,0.00,0.24,0.33,9.95,0.0,0.3,-0.5,0
24841,0,-104.59,0.00,0.27,0.33,9.94,0.0,0.2,-0.5,0
24851,0,-104.47,0.00,0.27,0.33,9.93,0.0,0.2,-0.5,0
24861,0,-104.66,0.00,0.25,0.31,9.95,0.0,0.2,-0.6,0
24871,0,-104.61,0.00,0.25,0.33,9.94,0.1,0.1,-0.6,0
24881,0,-104.57,0.00,0.26,0.32,9.96,0.1,0.1,-0.6,0
24891,0,-104.65,0.00,0.26,0.33,9.96,0.1,0.1,-0.6,0
24901,0,-104.52,0.00,0.26,0.32,9.94,0.2,0.0,-0.6,0
24911,0,-104.51,0.00,0.28,0.33,9.96,0.2,0.0,-0.6,0
24921,0,-104.37,0.00,0.27,0.32,9.94,0.2,0.0,-0.6,0
24931,0,-104.31,0.00,0.26,0.32,9.93,0.3,0.0,-0.6,0
24941,0,-104.31,0.00,0.25,0.32,9.95,0.3,0.0,-0.6,0
24951,0,-104.47,0.00,0.26,0.34,9.95,0.3,0.0,-0.6,0
24961,0,-104.54,0.00,0.27,0.33,9.94,0.3,0.0,-0.6,0
24971,0,-104.52,0.00,0.25,0.33,9.94,0.4,-0.1,-0.6,0
24981,0,-104.38,0.00,0.26,0.32,9.95,0.4,-0.1,-0.6,0
24991,0,-104.42,0.00,0.25,0.32,9.95,0.4,-0.1,-0.6,0
25001,0,-104.59,0.00,0.26,0.34,9.94,0.5,-0.1,-0.6,0
25011,0,-104.60,0.00,0.26,0.33,9.95,0.5,-0.2,-0.6,0
25021,0,-104.63,0.00,0.26,0.33,9.95,0.5,-0.2,-0.6,0
25031,0,-104.59,0.00,0.26,0.33,9.95,0.5,-0.2,-0.6,0
25041,0,-104.84,0.00,0.26,0.33,9.95,0.6,-0.2,-0.6,0
25051,0,-104.68,0.00,0.25,0.32,9.93,0.6,-0.3,-0.6,0
25061,0,-104.65,0.00,0.26,0.30,9.94,0.6,-0.3,-0.6,0
25071,0,-104.50,0.00,0.27,0.31,9.93,0.6,-0.3,-0.6,0
25081,0,-104.47,0.00,0.27,0.32,9.93,0.6,-0.3,-0.6,0
25091,0,-104.41,0.00,0.26,0.31,9.95,0.7,-0.3,-0.6,0
25101,0,-104.47,0.00,0.26,0.30,9.94,0.7,-0.4,-0.6,0
25111,0,-104.34,0.00,0.25,0.32,9.93,0.7,-0.4,-0.6,0
25121,0,-104.44,0.00,0.24,0.32,9.94,0.7,-0.4,-0.6,0
25131,0,-104.41,0.00,0.26,0.33,9.94,0.8,-0.4,-0.6,0
25141,0,-104.27,0.00,0.26,0.33,9.95,0.8,-0.4,-0.6,0
25151,0,-104.26,0.00,0.26,0.32,9.93,0.8,-0.4,-0.6,0
25161,0,-104.23,0.00,0.25,0.32,9.94,0.8,-0.5,-0.6,0
25171,0,-104.23,0.00,0.24,0.33,9.94,0.8,-0.5,-0.6,0
25181,0,-104.42,0.00,0.25,0.34,9.95,0.9,-0.5,-0.6,0
25191,0,-104.43,0.00,0.28,0.33,9.95,0.9,-0.5,-0.6,0
25201,0,-104.27,0.00,0.26,0.33,9.96,0.9,-0.5,-0.6,0
25211,0,-104.28,0.00,0.26,0.32,9.92,0.9,-0.5,-0.6,0
25221,0,-104.29,0.00,0.26,0.33,9.93,0.9,-0.6,-0.6,0
25231,0,-104.38,0.00,0.26,0.33,9.95,1.0,-0.6,-0.6,0
25241,0,-104.46,0.00,0.26,0.33,9.96,1.0,-0.6,-0.6,0
25251,0,-104.43,0.00,0.27,0.33,9.93,1.0,-0.6,-0.6,0
25261,0,-104.31,0.00,0.28,0.33,9.94,1.0,-0.6,-0.6,0
25271,0,-104.18,0.00,0.27,0.33,9.94,1.0,-0.6,-0.6,0
25281,0,-104.26,0.00,0.26,0.31,9.94,1.0,-0.7,-0.6,0
25291,0,-104.29,0.00,0.26,0.32,9.95,1.1,-0.7,-0.6,0
25301,0,-104.25,0.00,0.24,0.33,9.95,1.1,-0.7,-0.6,0
25311,0,-104.24,0.00,0.27,0.33,9.94,1.1,-0.7,-0.6,0
25321,0,-104.43,0.00,0.27,0.32,9.95,1.1,-0.7,-0.6,0
25331,0,-104.38,0.00,0.26,0.32,9.94,1.1,-0.7,-0.6,0
25341,0,-104.40,0.00,0.27,0.32,9.95,1.1,-0.7,-0.6,0
25351,0,-104.27,0.00,0.26,0.32,9.95,1.1,-0.7,-0.6,0
25361,0,-104.30,0.00,0.25,0.33,9.95,1.2,-0.8,-0.6,0
25371,0,-104.52,0.00,0.25,0.31,9.94,1.2,-0.8,-0.6,0
